Output Areas Code,Output Areas,Distance travelled to work (11 categories) Code,Distance travelled to work (11 categories),Observation
E00056789,E00056789,3,5km to less than 10km,17
E00056789,E00056789,4,10km to less than 20km,26
E00056789,E00056789,5,20km to less than 30km,3
E00056789,E00056789,6,30km to less than 40km,1
E00056789,E00056789,7,40km to less than 60km,0
E00056789,E00056789,8,60km and over,0
E00056789,E00056789,9,Works mainly from home,41
E00056789,E00056789,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",18
E00056790,E00056790,-8,Does not apply,206
E00056790,E00056790,1,Less than 2km,43
E00056790,E00056790,2,2km to less than 5km,12
E00056790,E00056790,3,5km to less than 10km,21
E00056790,E00056790,4,10km to less than 20km,30
E00056790,E00056790,5,20km to less than 30km,5
E00056790,E00056790,6,30km to less than 40km,0
E00056790,E00056790,7,40km to less than 60km,7
E00056790,E00056790,8,60km and over,2
E00056790,E00056790,9,Works mainly from home,50
E00056790,E00056790,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",32
E00056792,E00056792,-8,Does not apply,179
E00056792,E00056792,1,Less than 2km,34
E00056792,E00056792,2,2km to less than 5km,15
E00056792,E00056792,3,5km to less than 10km,16
E00056792,E00056792,4,10km to less than 20km,29
E00056792,E00056792,5,20km to less than 30km,2
E00056792,E00056792,6,30km to less than 40km,0
E00056792,E00056792,7,40km to less than 60km,1
E00056792,E00056792,8,60km and over,2
E00056792,E00056792,9,Works mainly from home,35
E00056792,E00056792,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",21
E00056793,E00056793,-8,Does not apply,159
E00056793,E00056793,1,Less than 2km,14
E00056793,E00056793,2,2km to less than 5km,15
E00056793,E00056793,3,5km to less than 10km,23
E00056793,E00056793,4,10km to less than 20km,19
E00056793,E00056793,5,20km to less than 30km,6
E00056793,E00056793,6,30km to less than 40km,0
E00056793,E00056793,7,40km to less than 60km,0
E00056793,E00056793,8,60km and over,1
E00056793,E00056793,9,Works mainly from home,69
E00056793,E00056793,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",9
E00056794,E00056794,-8,Does not apply,173
E00056794,E00056794,1,Less than 2km,5
E00056794,E00056794,2,2km to less than 5km,8
E00056794,E00056794,3,5km to less than 10km,15
E00056794,E00056794,4,10km to less than 20km,14
E00056794,E00056794,5,20km to less than 30km,6
E00056794,E00056794,6,30km to less than 40km,1
